jour_de_tirage;date_de_tirage;heure_de_tirage;date_de_forclusion;Numero;devise;
Jeudi   ;23/07/2015;soir;22/09/2015;3 173 351;eur;
Jeudi   ;23/07/2015;midi;22/09/2015;5 649 626;eur;
Mercredi;22/07/2015;soir;21/09/2015;3 195 554;eur;
Mercredi;22/07/2015;midi;21/09/2015;5 823 562;eur;
Mardi   ;21/07/2015;soir;20/09/2015;7 574 727;eur;
Mardi   ;21/07/2015;midi;20/09/2015;9 695 712;eur;
Lundi   ;20/07/2015;soir;19/09/2015;2 380 254;eur;
Lundi   ;20/07/2015;midi;19/09/2015;6 365 080;eur;
Dimanche;19/07/2015;soir;18/09/2015;6 399 058;eur;
Dimanche;19/07/2015;midi;18/09/2015;6 324 019;eur;
Samedi  ;18/07/2015;soir;17/09/2015;2 908 684;eur;
Samedi  ;18/07/2015;midi;17/09/2015;5 636 770;eur;
Vendredi;17/07/2015;soir;16/09/2015;9 712 393;eur;
Vendredi;17/07/2015;midi;16/09/2015;5 839 721;eur;
Jeudi   ;16/07/2015;soir;15/09/2015;8 284 740;eur;
Jeudi   ;16/07/2015;midi;15/09/2015;8 149 421;eur;
Mercredi;15/07/2015;soir;14/09/2015;4 073 846;eur;
Mercredi;15/07/2015;midi;14/09/2015;2 390 585;eur;
Mardi   ;14/07/2015;soir;13/09/2015;5 825 863;eur;
Mardi   ;14/07/2015;midi;13/09/2015;5 557 145;eur;
Lundi   ;13/07/2015;soir;12/09/2015;1 715 356;eur;
Lundi   ;13/07/2015;midi;12/09/2015;7 479 080;eur;
Dimanche;12/07/2015;soir;11/09/2015;6 870 359;eur;
Dimanche;12/07/2015;midi;11/09/2015;4 091 583;eur;
Samedi  ;11/07/2015;soir;10/09/2015;6 467 633;eur;
Samedi  ;11/07/2015;midi;10/09/2015;9 998 784;eur;
Vendredi;10/07/2015;soir;09/09/2015;1 035 824;eur;
Vendredi;10/07/2015;midi;09/09/2015;6 957 044;eur;
Jeudi   ;09/07/2015;soir;08/09/2015;3 889 913;eur;
Jeudi   ;09/07/2015;midi;08/09/2015;5 817 451;eur;
Mercredi;08/07/2015;soir;07/09/2015;6 045 266;eur;
Mercredi;08/07/2015;midi;07/09/2015;2 018 220;eur;
Mardi   ;07/07/2015;soir;06/09/2015;2 938 795;eur;
Mardi   ;07/07/2015;midi;06/09/2015;6 481 529;eur;
Lundi   ;06/07/2015;soir;05/09/2015;3 651 834;eur;
Lundi   ;06/07/2015;midi;05/09/2015;6 998 639;eur;
Dimanche;05/07/2015;soir;04/09/2015;3 255 128;eur;
Dimanche;05/07/2015;midi;04/09/2015;9 801 776;eur;
Samedi  ;04/07/2015;soir;03/09/2015;2 314 689;eur;
Samedi  ;04/07/2015;midi;03/09/2015;5 905 222;eur;
Vendredi;03/07/2015;soir;02/09/2015;2 400 197;eur;
Vendredi;03/07/2015;midi;02/09/2015;5 075 070;eur;
Jeudi   ;02/07/2015;soir;01/09/2015;1 617 967;eur;
Jeudi   ;02/07/2015;midi;01/09/2015;2 131 068;eur;
Mercredi;01/07/2015;soir;31/08/2015;8 936 262;eur;
Mercredi;01/07/2015;midi;31/08/2015;6 989 771;eur;
Mardi   ;30/06/2015;soir;30/08/2015;6 899 861;eur;
Mardi   ;30/06/2015;midi;30/08/2015;4 718 263;eur;
Lundi   ;29/06/2015;soir;29/08/2015;9 779 536;eur;
Lundi   ;29/06/2015;midi;29/08/2015;6 445 528;eur;
Dimanche;28/06/2015;soir;28/08/2015;1 469 903;eur;
Dimanche;28/06/2015;midi;28/08/2015;5 660 391;eur;
Samedi  ;27/06/2015;soir;27/08/2015;1 784 675;eur;
Samedi  ;27/06/2015;midi;27/08/2015;9 280 327;eur;
Vendredi;26/06/2015;soir;26/08/2015;4 814 053;eur;
Vendredi;26/06/2015;midi;26/08/2015;3 154 737;eur;
Jeudi   ;25/06/2015;soir;25/08/2015;4 892 814;eur;
Jeudi   ;25/06/2015;midi;25/08/2015;6 405 054;eur;
Mercredi;24/06/2015;soir;24/08/2015;1 257 329;eur;
